name,fp,iCliff,ts_sali_avg
CHEMBL2034_Ki,ECFP4,0.03422186170130995,0.03161904899649627
CHEMBL2034_Ki,MACCS,0.04922501401135583,0.03902104365789809
CHEMBL287_Ki,RDKIT,0.03132766297314586,0.027211203108307873
CHEMBL287_Ki,ECFP4,0.027959737612516602,0.025671165562941464
CHEMBL287_Ki,MACCS,0.042581664866491245,0.032926781120189715
CHEMBL236_Ki,RDKIT,0.05421798313460478,0.04237553677721923
CHEMBL236_Ki,ECFP4,0.038510617025642506,0.03496946178026309
CHEMBL236_Ki,MACCS,0.06278460424474763,0.04752115217932764
CHEMBL4203_Ki,RDKIT,0.03070520617138452,0.025917857220013878
CHEMBL4203_Ki,ECFP4,0.024920620470249632,0.023148448724353725
CHEMBL4203_Ki,MACCS,0.03638559334973717,0.029240598795228653
CHEMBL262_Ki,RDKIT,0.03207435505870425,0.026859466415105716
CHEMBL262_Ki,ECFP4,0.025411201624211992,0.023626547299161485
CHEMBL262_Ki,MACCS,0.037124925554032726,0.029851503729810935
CHEMBL235_EC50,RDKIT,0.03442949123459102,0.02860227333292544
CHEMBL235_EC50,ECFP4,0.0280140073424111,0.02555206706682228
CHEMBL235_EC50,MACCS,0.040297408194044516,0.03194129689883181
CHEMBL3979_EC50,RDKIT,0.04278021008034617,0.03558410450013686
CHEMBL3979_EC50,ECFP4,0.0360358089871682,0.0323243827842286
CHEMBL3979_EC50,MACCS,0.05227774403572135,0.04114159358152251
CHEMBL238_Ki,RDKIT,0.032782206137145775,0.028213863623481838
CHEMBL238_Ki,ECFP4,0.02768771332129518,0.025714665937448804
CHEMBL238_Ki,MACCS,0.03928833141360709,0.03171424222896108
CHEMBL2047_EC50,RDKIT,0.029969827178591497,0.025311415611936724
CHEMBL2047_EC50,ECFP4,0.023925489708904537,0.0222183487134857
CHEMBL2047_EC50,MACCS,0.03295434073329785,0.026909382730742188
CHEMBL231_Ki,RDKIT,0.04093860613502382,0.034525524062751334
CHEMBL231_Ki,ECFP4,0.03433164744086004,0.031399298846001865
CHEMBL231_Ki,MACCS,0.05324784760698345,0.04106397837188678
CHEMBL4792_Ki,RDKIT,0.0527185430928154,0.04129733679463174
CHEMBL4792_Ki,ECFP4,0.03769190103700337,0.03386051129311969
CHEMBL4792_Ki,MACCS,0.06456974400803114,0.04745960804533378
CHEMBL228_Ki,RDKIT,0.03676649421762872,0.03112811700968118
CHEMBL228_Ki,ECFP4,0.030398194558748898,0.028204529921079777
CHEMBL228_Ki,MACCS,0.04588683123311522,0.035701359542391994
CHEMBL1862_Ki,RDKIT,0.04465447492810332,0.03529296861205817
CHEMBL1862_Ki,ECFP4,0.03599779623175264,0.031519368892580064
CHEMBL1862_Ki,MACCS,0.05249820889842479,0.039827133865100825
CHEMBL239_EC50,RDKIT,0.0348411786386612,0.028998243990502083
CHEMBL239_EC50,ECFP4,0.02937973802546631,0.02644905975385454
CHEMBL239_EC50,MACCS,0.0424537233570742,0.03318777858731528
